"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","teardown","POS Suite","2026-01-08","broken","2026-01-08","Testcases.Test1","POS Test","Testcases.Test1","teardown"
"","1","teardown","POS Suite","2026-01-14","broken","2026-01-14","Testcases.Return","POS Test","Testcases.Return","teardown"
"","15430","EqualExchanges","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Exchanges","POS Test","Testcases.Exchanges","EqualExchanges"
"","10819","verifyReturnFlow","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Return","POS Test - User2","Testcases.Return","verifyReturnFlow"
"","56717","validateitemdata","Default suite","2026-03-10","passed","2026-03-10","Testcases.Transaction1","Default test","Testcases.Transaction1","validateitemdata"
"","62715","login","Default suite","2026-03-09","broken","2026-03-09","Testcases.Test2","Default test","Testcases.Test2","login"
"","10563","NegativeExchanges","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","NegativeExchanges"
"","1","loginAndCheckoutFlow","POS Suite","2026-03-11","skipped","2026-03-11","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","loginAndCheckoutFlow"
"","50043","loginAndCheckoutFlow","POS Suite","2026-03-11","passed","2026-03-11","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","loginAndCheckoutFlow"
"","18511","loginAndCallApi","POS Suite","2025-12-29","broken","2025-12-29","Testcases.Test2","POS Test","Testcases.Test2","loginAndCallApi"
"","0","setup","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","setup"
"","98990","EqualExchanges","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","EqualExchanges"
"","0","verifyTransactionOrderNumber","Default suite","2026-03-10","skipped","2026-03-10","Testcases.Transaction1","Default test","Testcases.Transaction1","verifyTransactionOrderNumber"
"","13754","NegativeExchanges","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Exchanges","POS Test","Testcases.Exchanges","NegativeExchanges"
"","1","loginAndCheckoutFlow","POS Suite","2026-03-10","skipped","2026-03-10","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","loginAndCheckoutFlow"
"","4","setup","Default suite","2026-02-24","broken","2026-02-24","Testcases.Test1","Default test","Testcases.Test1","setup"
"","14805","validateitemdata","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","validateitemdata"
"","13977","verifyReturnFlow","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Return","POS Test","Testcases.Return","verifyReturnFlow"
"","97759","loginAndCheckoutFlow","Default suite","2026-02-26","broken","2026-02-26","Testcases.Test1","Default test","Testcases.Test1","loginAndCheckoutFlow"
"","10648","EqualExchanges","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","EqualExchanges"
"","14988","PositiveExchanges","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Exchanges","POS Test","Testcases.Exchanges","PositiveExchanges"
"","75729","NegativeExchanges","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","NegativeExchanges"
"","10128","verifyTransactionOrderNumber","POS Suite","2026-03-11","passed","2026-03-11","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","verifyTransactionOrderNumber"
"","38903","verifyReturnFlow","POS Suite","2026-01-13","broken","2026-01-13","Testcases.Transaction1","POS Test","Testcases.Transaction1","verifyReturnFlow"
