"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","loginAndCheckoutFlow","POS Suite","2026-03-12","skipped","2026-03-12","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","loginAndCheckoutFlow"
"","1","verifyTransactionOrderNumber","POS Suite","2026-03-12","skipped","2026-03-12","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","verifyTransactionOrderNumber"
"","271632","validateitemdata","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","validateitemdata"
"","59164","verifyReturnFlow","POS Suite","2026-03-12","passed","2026-03-12","Testcases.Return","POS Test - User1","Testcases.Return","verifyReturnFlow"
"","89138","EqualExchanges","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","EqualExchanges"
"","69975","NegativeExchanges","POS Suite","2026-03-12","passed","2026-03-12","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","NegativeExchanges"
"","25301","validateitemdata","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","validateitemdata"
"","0","loginAndCheckoutFlow","POS Suite","2026-03-12","skipped","2026-03-12","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","loginAndCheckoutFlow"
"","0","verifyTransactionOrderNumber","POS Suite","2026-03-12","skipped","2026-03-12","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","verifyTransactionOrderNumber"
"","72598","PositiveExchanges","POS Suite","2026-03-12","passed","2026-03-12","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","PositiveExchanges"
"","13001","verifyReturnFlow","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Return","POS Test - User2","Testcases.Return","verifyReturnFlow"
"","57000","EqualExchanges","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","EqualExchanges"
"","10237","PositiveExchanges","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","PositiveExchanges"
"","10211","NegativeExchanges","POS Suite","2026-03-12","broken","2026-03-12","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","NegativeExchanges"
